,domain,y_pred
0,tradinglog.app,1
1,tokimeki.app,0
2,thetametachain.app,0
3,win799.app,0
4,frameworthy.art,0
5,ayooh.app,0
6,willjrobinson.app,0
7,forgeous.art,0
8,www.azdevops.app,0
9,alphaitsolutions.app,0
10,apvp.app,0
11,reneeisabelle.art,0
12,ankigen.app,0
13,k2web.art,0
14,www.jorgeleger.army,1
15,aerotech.app,0
16,twindlebackend.app,0
17,fraybogg.art,0
18,kounalix.art,0
19,narax.art,0
20,www.whenthey.army,1
21,www.extremefreedom.army,1
22,nataliadomingo.art,0
23,www.patria.army,1
24,nftits.art,0
25,thestu.app,0
26,redpilltheworld.art,0
27,trapi.app,0
28,radiantsphynx.art,0
29,free-nfts.art,0
30,www.remodela.art,1
31,avinya.app,0
32,redturnip.art,0
33,www.craft.army,1
34,remarkablystu.art,0
35,traveloo.app,0
36,oloff.art,1
37,fluegge.art,0
38,olivermarsden.art,0
39,opn.art,0
40,enchantednature.art,0
41,fashionbazzar.art,1
42,womanlifefreedom.app,0
43,wonwin.app,0
44,beefcakesascha.art,0
45,eja.archi,0
46,remarkablystew.art,0
47,www.elithegirl.art,0
48,www.oskullator.art,1
49,kim2091.art,0
50,el-rol-artonpaper.jimdofree.com,0
51,www.el9seburla.art,1
52,www.jackmcconnell.art,0
53,boomsa.art,1
54,galaxtv.art,0
55,bhdesigns.art,0
56,amelisante.app,0
57,kampanyalarim-2023.art,0
58,ripef.art,0
59,patrickalles.art,0
60,www.gamify.art,1
61,paeng.art,0
62,blackin.art,0
63,jessiegu.art,0
64,www.joelsinclair.art,1
65,www.goodkarmastudios.art,1
66,www.petersketches.art,1
67,especialplanos.art,0
68,www.gamifylife.art,1
69,yellowdig.art,0
70,pikkipokki.art,0
71,koshigallery.art,0
72,oksanaratushna.art,0
73,blendar-prog.art,0
74,www.dian.gov.co,0
75,nauticaer.art,0
76,liquidcooled.art,0
77,www.immyr.art,1
78,ladosound.art,0
79,www.facebook.com,0
80,blendr-software.art,0
81,palipali.art,0
82,luzelviratorres.art,0
83,greyhash.art,1
84,bonkworld.art,0
85,yourhighnesstouch.art,0
86,www.lemonberry.art,1
87,www.niebieskikoralik.art,0
88,brianallen.art,0
89,www.lessfragile.art,1
90,orbitalgloss.art,0
91,bmaria.art,0
92,mintra.art,0
